id,seller_id,satisfaction_score,review_count,total_product_count,is_abusing_seller,processed_address,is_cross_border,is_english_name
2274,A00164173,90,12233,782,False,경기도 남양주시,0,0
2275,A00332045,95,258,30,False,서울특별시 강서구,0,0
2276,A01261671,94,318,75,False,대구광역시 동구,0,0
2277,A01135550,97,1066,81,False,경기도 용인시,0,0
2278,A01548249,95,20,85,False,경상남도 통영시,1,0
2279,A01159240,97,773,106,False,경기도 안산시,0,0
2280,A00169360,94,3448,1230,False,서울특별시 금천구,0,0
2281,A00021314,92,5449,114,False,경기도 파주시,0,0
2282,A00129149,95,4905,514,False,서울특별시 양천구,0,0
2283,A01229117,98,5257,216,False,서울특별시 강남구,0,0
2284,A01274672,95,2379,88,False,경기도 김포시,0,0
2285,A00356579,100,71,1,False,제주특별자치도 서귀포시,0,0
2286,A00540986,95,289,2420,False,경기도 용인시,0,0
2287,A01015234,97,956,53,False,전라남도 영암군,1,0
2288,A01485590,99,506,3,False,서울특별시 강남구,0,0
2289,A01228836,97,1696,395,False,경기도 남양주시,0,0
2290,A00229286,94,187,544,False,경기도 고양시,0,0
2291,A00867595,93,1345,306,False,경기도 남양주시,0,0
2292,A00022090,91,663,87,False,서울특별시 서초구,0,0
2293,A00200258,95,317,137,False,경기도 시흥시,0,0
2294,A00221777,94,1257,177,False,충청남도 공주시,1,0
2295,A00021116,93,16081,361,False,서울특별시 강남구,0,0
2296,A01138848,86,58,14,False,경기도 용인시,0,0
2297,A00990455,93,341,54,False,경기도 시흥시,0,0
2298,A00113834,94,1034,57,False,인천광역시 남구,0,0
2299,A00044263,97,4181,90,False,인천광역시 남구,0,0
2300,A00254304,95,1825,58,False,경기도 안산시,0,0
2301,A00042240,93,9720,1320,False,전북특별자치도 익산시,0,0
2302,A00957345,96,421,29,False,대구광역시 달성군,0,0
2303,A00475579,94,1088,108,False,경기도 남양주시,0,0
2304,A00053642,96,812,627,False,서울특별시 중구,0,0
2305,A00134975,91,3536,845,False,서울특별시 송파구,0,0
2306,A00183365,96,594,47,False,경기도 안양시,0,0
2307,A00133540,94,1117,94,False,대구광역시 달성군,0,0
2308,A01374655,95,61,6541,False,서울특별시 용산구,0,0
2309,A01389489,92,49,40,False,서울특별시 종로구,0,0
